timestamp,open,high,low,close,volume
2020-01-01 00:00:00,9984.32,10015.56,9981.96,9996.23,189.5664
2020-01-01 00:05:00,10071.45,10114.61,10051.38,10058.42,24.5562
2020-01-01 00:10:00,10077.02,10086.78,10064.04,10067.47,118.2563
2020-01-01 00:15:00,10115.01,10127.82,10104.27,10108.14,23.6594
2020-01-01 00:20:00,10114.03,10120.56,10084.57,10103.96,96.844
2020-01-01 00:25:00,10110.92,10121.47,10080.23,10102.37,214.5985
2020-01-01 00:30:00,10111.11,10141.05,10095.33,10125.76,240.0526
2020-01-01 00:35:00,10136.61,10162.12,10108.09,10151.35,99.3537
2020-01-01 00:40:00,10147.78,10157.94,10139.34,10148.41,132.2681
2020-01-01 00:45:00,10075.71,10077.37,10068.19,10076.83,11.2394
2020-01-01 00:50:00,10061.48,10111.81,10048.7,10072.28,82.6092
2020-01-01 00:55:00,10093.9,10113.12,10060.21,10093.5,35.8754
2020-01-01 01:00:00,10080.57,10100.25,10076.71,10094.72,38.9449
2020-01-01 01:05:00,10108.64,10111.92,10099.4,10109.04,72.3083
2020-01-01 01:10:00,10136.13,10138.09,10113.26,10117.74,193.5271
2020-01-01 01:15:00,10074.53,10080.42,10071.96,10074.69,25.5896
2020-01-01 01:20:00,10113.69,10130.4,10093.78,10101.88,104.1859
2020-01-01 01:25:00,10077.93,10090.0,10070.19,10084.8,12.0172
2020-01-01 01:30:00,10056.0,10079.79,10039.24,10070.13,101.2952
2020-01-01 01:35:00,10076.04,10123.83,10063.65,10088.49,30.671
2020-01-01 01:40:00,10071.95,10094.72,10053.96,10066.85,56.5627
2020-01-01 01:45:00,10066.64,10087.25,10031.24,10075.26,95.9186
2020-01-01 01:50:00,10040.21,10054.89,10020.0,10049.9,73.4995
2020-01-01 01:55:00,10031.38,10050.89,10027.24,10044.75,55.3583
2020-01-01 02:00:00,10035.74,10059.91,10015.5,10033.99,180.1056
2020-01-01 02:05:00,10027.13,10027.61,9990.7,10020.59,4.1901
2020-01-01 02:10:00,9993.39,10014.3,9972.61,9996.55,157.6596
2020-01-01 02:15:00,10001.06,10018.64,9966.12,9995.69,15.7219
2020-01-01 02:20:00,9997.71,10016.44,9984.62,9999.83,58.5609
2020-01-01 02:25:00,10031.93,10086.26,10013.54,10028.11,204.246
2020-01-01 02:30:00,10022.21,10031.05,10001.51,10011.35,69.113
2020-01-01 02:35:00,10027.48,10066.12,9986.34,10013.43,85.6126
2020-01-01 02:40:00,10077.3,10120.58,10055.75,10080.24,1.4592
2020-01-01 02:45:00,10097.44,10101.79,10091.48,10092.59,111.2943
2020-01-01 02:50:00,10119.99,10128.67,10063.65,10107.71,3.2337
2020-01-01 02:55:00,10121.38,10135.11,10116.88,10121.36,17.7276
2020-01-01 03:00:00,10060.02,10080.66,10039.76,10070.11,31.814
2020-01-01 03:05:00,10057.78,10082.45,10036.64,10063.25,10.7352
2020-01-01 03:10:00,10010.6,10022.4,9961.33,9999.16,144.9236
2020-01-01 03:15:00,10010.74,10046.96,10008.8,10025.49,33.0501
2020-01-01 03:20:00,10088.42,10088.9,10053.31,10077.13,116.4927
2020-01-01 03:25:00,10048.96,10088.95,10017.81,10061.65,149.3038
2020-01-01 03:30:00,10100.65,10137.56,10079.35,10115.38,60.9679
2020-01-01 03:35:00,10081.51,10087.97,10054.01,10081.85,105.6364
2020-01-01 03:40:00,10052.58,10075.5,10031.54,10046.31,150.1066
2020-01-01 03:45:00,10063.49,10093.41,10055.94,10063.47,110.4653
2020-01-01 03:50:00,10043.8,10053.37,10039.26,10039.34,379.5886
2020-01-01 03:55:00,10009.02,10045.8,9984.32,10024.88,6.6287
2020-01-01 04:00:00,10066.16,10073.96,10026.11,10058.05,23.24
2020-01-01 04:05:00,10048.36,10085.27,9988.35,10029.14,284.786
2020-01-01 04:10:00,10018.09,10031.72,10011.98,10021.16,43.5368
2020-01-01 04:15:00,10017.72,10026.31,9985.91,10018.13,24.2248
2020-01-01 04:20:00,10033.8,10058.52,10023.94,10030.01,15.6376
